,0,1,2,3,4,5,6,7,8,9,10,11,12
0,0.0,0.061,0.603,0.841,0.953,1.0,,,,,,,
1,0.0,0.061,0.603,0.841,0.953,1.0,,,,,,,
2,0.0,0.061,0.603,0.841,0.953,1.0,,,,,,,
3,0.0,0.059,0.657,0.837,0.952,1.0,,,,,,,
4,0.0,0.059,0.657,0.837,0.952,1.0,,,,,,,
5,0.0,0.059,0.657,0.837,0.952,1.0,,,,,,,
6,0.0,0.059,0.657,0.837,0.952,1.0,,,,,,,
7,0.0,0.059,0.657,0.837,0.952,1.0,,,,,,,
8,0.0,0.059,0.657,0.837,0.952,1.0,,,,,,,
9,0.0,0.059,0.657,0.837,0.952,1.0,,,,,,,
10,0.0,0.058,0.658,0.838,0.952,1.0,,,,,,,
11,0.0,0.058,0.658,0.838,0.952,1.0,,,,,,,
12,0.0,0.058,0.658,0.838,0.952,1.0,,,,,,,
13,0.0,0.058,0.658,0.838,0.952,1.0,,,,,,,
14,0.0,0.058,0.658,0.838,0.952,1.0,,,,,,,
15,0.0,0.058,0.658,0.838,0.952,1.0,,,,,,,
16,0.0,0.058,0.655,0.837,0.953,1.0,,,,,,,
17,0.0,0.058,0.655,0.837,0.953,1.0,,,,,,,
18,0.0,0.058,0.655,0.837,0.953,1.0,,,,,,,
19,0.0,0.058,0.655,0.837,0.953,1.0,,,,,,,
20,0.0,0.058,0.655,0.837,0.953,1.0,,,,,,,
21,0.0,0.058,0.655,0.837,0.953,1.0,,,,,,,
22,0.0,0.058,0.655,0.837,0.953,1.0,,,,,,,
23,0.0,0.059,0.658,0.841,0.954,1.0,,,,,,,
24,0.0,0.059,0.658,0.841,0.954,1.0,,,,,,,
25,0.0,0.059,0.658,0.841,0.954,1.0,,,,,,,
26,0.0,0.059,0.658,0.841,0.954,1.0,,,,,,,
27,0.0,0.059,0.658,0.841,0.954,1.0,,,,,,,
28,0.0,0.059,0.658,0.841,0.954,1.0,,,,,,,
29,0.0,0.057,0.66,0.839,0.953,1.0,,,,,,,
30,0.0,0.057,0.66,0.839,0.953,1.0,,,,,,,
31,0.0,0.057,0.66,0.839,0.953,1.0,,,,,,,
32,0.0,0.057,0.66,0.839,0.953,1.0,,,,,,,
33,0.0,0.057,0.66,0.839,0.953,1.0,,,,,,,
34,0.0,0.057,0.66,0.839,0.953,1.0,,,,,,,
35,0.0,0.057,0.66,0.839,0.953,1.0,,,,,,,
36,0.0,0.058,0.654,0.839,0.953,1.0,,,,,,,
37,0.0,0.058,0.654,0.839,0.953,1.0,,,,,,,
38,0.0,0.058,0.654,0.839,0.953,1.0,,,,,,,
39,0.0,0.058,0.654,0.839,0.953,1.0,,,,,,,
40,0.0,0.058,0.654,0.839,0.953,1.0,,,,,,,
41,0.0,0.058,0.654,0.839,0.953,1.0,,,,,,,
42,0.0,0.058,0.654,0.839,0.953,1.0,,,,,,,
43,0.0,0.058,0.654,0.838,0.954,1.0,,,,,,,
44,0.0,0.058,0.654,0.838,0.954,1.0,,,,,,,
45,0.0,0.058,0.654,0.838,0.954,1.0,,,,,,,
46,0.0,0.058,0.654,0.838,0.954,1.0,,,,,,,
47,0.0,0.058,0.654,0.838,0.954,1.0,,,,,,,
48,0.0,0.058,0.654,0.838,0.954,1.0,,,,,,,
49,0.0,0.058,0.654,0.837,0.954,1.0,,,,,,,
50,0.0,0.058,0.654,0.837,0.954,1.0,,,,,,,
51,0.0,0.058,0.654,0.837,0.954,1.0,,,,,,,
52,0.0,0.058,0.654,0.837,0.954,1.0,,,,,,,
53,0.0,0.058,0.654,0.837,0.954,1.0,,,,,,,
54,0.0,0.058,0.654,0.837,0.954,1.0,,,,,,,
55,0.0,0.058,0.654,0.837,0.954,1.0,,,,,,,
56,0.0,0.058,0.656,0.839,0.954,1.0,,,,,,,
57,0.0,0.058,0.656,0.839,0.954,1.0,,,,,,,
58,0.0,0.058,0.656,0.839,0.954,1.0,,,,,,,
59,0.0,0.058,0.656,0.839,0.954,1.0,,,,,,,
60,0.0,0.058,0.656,0.839,0.954,1.0,,,,,,,
61,0.0,0.058,0.656,0.839,0.954,1.0,,,,,,,
62,0.0,0.058,0.656,0.839,0.954,1.0,,,,,,,
63,0.0,0.058,0.655,0.839,0.954,1.0,,,,,,,
64,0.0,0.058,0.655,0.839,0.954,1.0,,,,,,,
65,0.0,0.058,0.655,0.839,0.954,1.0,,,,,,,
66,0.0,0.058,0.655,0.839,0.954,1.0,,,,,,,
67,0.0,0.058,0.655,0.839,0.954,1.0,,,,,,,
68,0.0,0.058,0.655,0.839,0.954,1.0,,,,,,,
69,0.0,0.062,0.656,0.839,0.954,1.0,,,,,,,
70,0.0,0.062,0.656,0.839,0.954,1.0,,,,,,,
71,0.0,0.062,0.656,0.839,0.954,1.0,,,,,,,
72,0.0,0.062,0.656,0.839,0.954,1.0,,,,,,,
73,0.0,0.062,0.656,0.839,0.954,1.0,,,,,,,
74,0.0,0.062,0.656,0.839,0.954,1.0,,,,,,,
75,0.0,0.062,0.656,0.839,0.954,1.0,,,,,,,
76,0.0,0.062,0.555,0.836,0.952,1.0,,,,,,,
77,0.0,0.062,0.555,0.836,0.952,1.0,,,,,,,
78,0.0,0.062,0.555,0.836,0.952,1.0,,,,,,,
79,0.0,0.062,0.555,0.836,0.952,1.0,,,,,,,
80,0.0,0.062,0.555,0.836,0.952,1.0,,,,,,,
81,0.0,0.062,0.555,0.836,0.952,1.0,,,,,,,
